route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,bikes_allowed
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2730,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-bd-2800,"Autobusų parkas (Verkių g.)",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-d,1,"Saulėtekis–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N1,465824,AN9-03-5-250901-bd-2830,"Autobusų parkas (Verkių g.)",1,AN9-03-5-250901-2487353,vilnius_nightbus_N1_b-d,1,"Saulėtekis–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-da-2400,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_d-a,1,"Autobusų parkas (Verkių g.)–Antakalnis–Centras",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-a1b1-2400,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-01-5-260605-2665687,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-a1b1-2430,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-02-5-260605-2665688,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-a1b1-2500,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-03-5-260605-2665689,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-a1b1-2530,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-01-5-260605-2665687,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-a1b1-2600,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-02-5-260605-2665688,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-a1b1-2630,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-03-5-260605-2665689,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-a1b1-2700,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-01-5-260605-2665687,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-a1b1-2730,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-02-5-260605-2665688,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-a1b1-2800,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-03-5-260605-2665689,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-ba-2450,"Centras",1,AN2-01-5-260605-2665687,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-ba-2520,"Centras",1,AN2-02-5-260605-2665688,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
