stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
9082,,"Grigiškių poliklinika","link centro",54.67194,25.08946,https://www.stops.lt/vilnius/index.html#stop/4105,,,
16236,,"Grigiškių poliklinika","link centro",54.67278,25.09004,https://www.stops.lt/vilnius/index.html#stop/4123,,,
9109,,"Neravų st.","iš centro",54.66864,25.11174,https://www.stops.lt/vilnius/index.html#stop/4106,,,
15833,,"Jono Švažo st.","",54.64064,25.10896,https://www.stops.lt/vilnius/index.html#stop/3917,,,
15837,,"Kaimynų st.","",54.63664,25.11077,https://www.stops.lt/vilnius/index.html#stop/3920,,,
15829,,"Gureliai","",54.64672,25.11176,https://www.stops.lt/vilnius/index.html#stop/3914,,,
15831,,"Gureliai","",54.64653,25.11180,https://www.stops.lt/vilnius/index.html#stop/3915,,,
15835,,"Jono Švažo st.","",54.64019,25.10786,https://www.stops.lt/vilnius/index.html#stop/3918,,,
9471,,"1-ieji Juodšiliai","link miesto",54.58541,25.24924,https://www.stops.lt/vilnius/index.html#stop/2723,,,
9472,,"1-ieji Juodšiliai","iš miesto",54.58528,25.24828,https://www.stops.lt/vilnius/index.html#stop/2724,,,
9571,,"2-ieji Juodšiliai","link Miškinių",54.58516,25.26040,https://www.stops.lt/vilnius/index.html#stop/2728,,,
9572,,"2-ieji Juodšiliai","link Mickevičiaus g.",54.58501,25.26216,https://www.stops.lt/vilnius/index.html#stop/2729,,,
5063,,"Justiniškės","iš centro",54.71754,25.22209,https://www.stops.lt/vilnius/index.html#stop/3209,,,
6580,,"Justiniškės","link centro",54.71652,25.22085,https://www.stops.lt/vilnius/index.html#stop/3211,,,
6581,,"Lūžiai","link centro",54.71080,25.21661,https://www.stops.lt/vilnius/index.html#stop/3214,,,
6582,,"Lūžiai","link Pašilaičių",54.71164,25.21772,https://www.stops.lt/vilnius/index.html#stop/1804,,,
542,,"Pumpėnų st.","link centro",54.72239,25.22192,https://www.stops.lt/vilnius/index.html#stop/3201,,,
5060,,"Taikos st.","link centro",54.72060,25.22263,https://www.stops.lt/vilnius/index.html#stop/3204,,,
5140,,"Taikos st.","iš centro",54.72159,25.22279,https://www.stops.lt/vilnius/index.html#stop/3202,,,
7001,,"Justiniškės","link Laisvės pr.",54.71676,25.22203,https://www.stops.lt/vilnius/index.html#stop/1801,,,
5137,,"Rygos st.","iš centro",54.71647,25.22962,https://www.stops.lt/vilnius/index.html#stop/3218,,,
6995,,"Atžalyno st.","iš centro",54.71826,25.21413,https://www.stops.lt/vilnius/index.html#stop/3208,,,
6996,,"Atžalyno st.","link centro",54.71929,25.21426,https://www.stops.lt/vilnius/index.html#stop/3207,,,
6990,,"Justiniškių žiedas","link centro",54.70933,25.21334,https://www.stops.lt/vilnius/index.html#stop/3216,,,
6998,,"Mykolo Biržiškos gimnazija","link centro",54.72133,25.21843,https://www.stops.lt/vilnius/index.html#stop/3206,,,
